Dates,SPX Index,LBUSTRUU Index
2/12/2003,1361.83,895.72
2/13/2003,1359.67,897.8
2/14/2003,1390.98,894.95
2/17/2003,#N/A,#N/A
2/18/2003,1420.18,895.45
2/19/2003,1409.67,897.96
2/20/2003,1395.41,899.55
2/21/2003,1415.2,897.93
2/24/2003,1387.36,899.89
2/25/2003,1398.07,901.12
2/26/2003,1379,902.42
2/27/2003,1396.58,903.05
2/28/2003,1403.53,905.56
3/3/2003,1392.21,906.47
3/4/2003,1369.3,907.28
3/5/2003,1383.83,908.35
3/6/2003,1370.09,907.35
3/7/2003,1382.28,908.34
3/10/2003,1344.04,910.05
3/11/2003,1331.99,909.35
3/12/2003,1338.77,908.63
3/13/2003,1388.41,903.56
3/14/2003,1390.88,904.68
3/17/2003,1443.76,901.41
3/18/2003,1450.35,898.88
3/19/2003,1463.98,896.8
3/20/2003,1466.97,895.39
3/21/2003,1502.97,892.35
3/24/2003,1446.51,897.26
3/25/2003,1465.32,897.78
3/26/2003,1456.8,899.06
3/27/2003,1454.48,899.96
3/28/2003,1445.53,901.49
3/31/2003,1418.11,904.77
4/1/2003,1436.56,904.68
4/2/2003,1476.98,901.19
4/3/2003,1469.04,902.15
4/4/2003,1473.34,901.54
4/7/2003,1475.32,899.53
4/8/2003,1472.91,902.73
4/9/2003,1451.06,904.22
4/10/2003,1461.07,903.06
4/11/2003,1455.3,901.74
4/14/2003,1485.64,900.74
4/15/2003,1495.77,903.13
4/16/2003,1476.27,904.52
4/17/2003,1500.77,904.25
4/18/2003,#N/A,#N/A
4/21/2003,1497.95,904.29
4/22/2003,1532.64,904.61
4/23/2003,1546.38,905.16
4/24/2003,1532.78,908.59
4/25/2003,1510.19,909.71
4/28/2003,1539.14,909.64
4/29/2003,1544.6,908.8
4/30/2003,1543.13,913.06
5/1/2003,1542.29,913.25
5/2/2003,1567.01,911.49
5/5/2003,1560.74,912.87
5/6/2003,1574.79,916.21
5/7/2003,1566.5,919.9
5/8/2003,1549.77,920.64
5/9/2003,1573.72,920.26
5/12/2003,1594.74,921.9
5/13/2003,1589.94,922.31
5/14/2003,1585,925.9
5/15/2003,1598.46,925.14
5/16/2003,1594.39,927.86
5/19/2003,1552.21,928.02
5/20/2003,1550.35,930.8
5/21/2003,1557.12,929.84
5/22/2003,1572.29,931.16
5/23/2003,1574.72,931.53
5/26/2003,#N/A,#N/A
5/27/2003,1607.49,929.74
5/28/2003,1610.87,928.91
5/29/2003,1604.57,932.02
5/30/2003,1629.69,931.95
6/2/2003,1635.87,929.75
6/3/2003,1644.07,933.14
6/4/2003,1670.92,934.51
6/5/2003,1678.04,932.9
6/6/2003,1673.86,932.81
6/9/2003,1652.65,935.94
6/10/2003,1668.68,939.27
6/11/2003,1691.99,939.18
6/12/2003,1693.91,940.39
6/13/2003,1676.15,942.71
6/16/2003,1715.96,940.33
6/17/2003,1717.61,937.33
6/18/2003,1714.93,934.35
6/19/2003,1687.3,935.18
6/20/2003,1689.1,933.4
6/23/2003,1663.87,936.24
6/24/2003,1667.13,938.26
6/25/2003,1652.52,934.37
6/26/2003,1672.06,928.93
6/27/2003,1654.84,927.96
6/30/2003,1651.74,929.9
