,Dates,SPX Index,LBUSTRUU Index,SPGSCI Index,RMSG Index,LP01TREU Index,TWSE Index,IBOV Index,SASEIDX Index,NKY Index,MXDK Index,SMI Index,VNINDEX Index,SPX Index Daily Returns,LBUSTRUU Index Daily Returns,SPGSCI Index Daily Returns,RMSG Index Daily Returns,LP01TREU Index Daily Returns,TWSE Index Daily Returns,IBOV Index Daily Returns,SASEIDX Index Daily Returns,NKY Index Daily Returns,MXDK Index Daily Returns,SMI Index Daily Returns,VNINDEX Index Daily Returns
4009,2015-12-10,4662.23,1618.52,25.71,743.2,254.57,2289.03,531.89,408.92,635.27,7855.01,1343.41,381.54,0.0024123792466581584,-0.0018131807136778644,0.007445141065830718,-0.00848497785367397,-0.0007065750736016119,0.002298820376743782,-0.03340178457847964,-0.009255221204632402,-0.015695692593740262,-0.012548351127553925,-0.003390258015697478,-0.009218624217715243
4010,2015-12-11,4570.48,1625.26,23.5,742.54,253.11,2241.02,512.77,408.92,646.3,7687.26,1329.67,383.16,-0.019679423795050832,0.004164298247781861,-0.08595877090626214,-0.000888051668460843,-0.005735161252307774,-0.020973949664268354,-0.03594728233281319,0.0,0.017362696176428827,-0.021355797128202236,-0.010227704126067216,0.0042459506211669495
4011,2015-12-14,4593.01,1617.06,22.9,745.79,250.22,2231.45,506.5,389.76,633.44,7680.17,1306.78,381.14,0.00492946036302544,-0.005045346590699329,-0.025531914893617058,0.004376868586204008,-0.011417960570503038,-0.00427037688195564,-0.01222770442888621,-0.04685513058789015,-0.019897880241373844,-0.0009223052166832391,-0.01721479765656153,-0.0052719490552251
4012,2015-12-15,4642.89,1614.16,23.63,754.83,250.97,2248.72,505.85,395.89,614.89,7768.36,1330.96,386.24,0.010859980709817751,-0.0017933781059452647,0.031877729257641985,0.012121374649700423,0.0029973623211574374,0.007739362298057273,-0.0012833168805527206,0.015727627257799748,-0.02928454155089677,0.011482818739689371,0.01850349714565569,0.01338090990187335
4013,2015-12-16,4712.04,1612.44,21.07,771.53,251.16,2286.2,502.96,403.09,632.99,7817.71,1342.86,390.33,0.01489374075198846,-0.0010655697080834692,-0.10833685992382558,0.0221241869030111,0.0007570625971231593,0.01666725959657045,-0.005713156073935077,0.01818687009017661,0.029436159313047883,0.006352692202730159,0.008940914828394542,0.010589270919635352
4014,2015-12-17,4640.4,1616.71,20.18,767.83,251.96,2300.97,511.15,415.91,639.93,7837.06,1336.32,394.4,-0.015203606081442556,0.0026481605517103546,-0.042240151874703424,-0.004795665755058076,0.0031852205765250385,0.006460502143294633,0.016283601081596988,0.03180431169217801,0.010963838291284222,0.002475149372386687,-0.0048702024038246305,0.010427074526682567
4015,2015-12-18,4556.03,1619.17,20.93,757.81,251.7,2296.1,486.06,415.91,633.15,7783.47,1330.76,386.68,-0.018181622273941933,0.0015216086991483024,0.03716551040634286,-0.013049763619551347,-0.0010319098269567784,-0.0021164986940289676,-0.0490853956764159,0.0,-0.010594908818151949,-0.006838023442464425,-0.004160680076628287,-0.01957403651115608
4016,2015-12-21,4592.8,1618.87,20.36,761.08,251.24,2299.81,465.62,407.3,632.16,7833.01,1323.18,385.42,0.008070622888787016,-0.0001852801126503989,-0.02723363592928807,0.00431506578166041,-0.001827572506952646,0.001615783284700134,-0.042052421511747484,-0.020701594094876374,-0.0015636105188344684,0.006364770468698433,-0.005695993267005317,-0.0032585083272990145
4017,2015-12-22,4634.67,1615.31,19.99,763.87,250.47,2309.39,471.66,415.99,631.81,7794.35,1327.34,384.96,0.009116443128374785,-0.0021990647797537344,-0.018172888015717148,0.0036658432753455816,-0.0030647985989492588,0.004165561502906812,0.012971951376659074,0.021335624846550383,-0.0005536573019488955,-0.004935522870518461,0.0031439411115643523,-0.0011935031913238303
4018,2015-12-23,4693.57,1613.47,22.64,773.08,251.21,2311.94,484.22,407.88,631.81,7885.26,1348.45,383.57,0.012708563932275485,-0.0011391002346298196,0.13256628314157082,0.012057025410082911,0.0029544456421926046,0.0011041876859259059,0.026629351651613398,-0.019495660953388283,0.0,0.011663576821672184,0.015903988427983906,-0.0036107647547797272
